company_name,year,cik
Walmart,2024,104169
Target,2024,27419
Dollar General,2024,29534
Dollar Tree,2024,935703
Five Below,2024,1177609
Costco,2024,909832
BJ's,2024,1531152
TJ Maxx,2024,109198
Ross,2024,745732
Burlington,2024,1579298
Macy's,2024,794367
Nordstrom,2024,72333
Dillard's,2024,28917
Kohl's,2024,885639
Amazon,2024,1018724
Wayfair,2024,1616707
Chewy,2024,1766502
Ulta Beauty,2024,1403568
Bath & Body Works,2024,886158
Victoria's Secret,2024,1856437
Signet Jewelers,2024,832988
Tapestry,2024,1116132
Capri Holdings,2024,1530721
Lululemon,2024,1397187
Boot Barn,2024,1610250
Foot Locker,2024,850209
Nike,2024,320187
Abercrombie & Fitch,2024,1018840
American Eagle,2024,919012
Urban Outfitters,2024,912615
Gap,2024,39911
Levi Strauss,2024,94845
Dick's Sporting Goods,2024,1089063
Academy Sports,2024,1817358
Best Buy,2024,764478
YETI,2024,1670592
Sherwin-Williams,2024,89800
RH,2024,1528849
Williams-Sonoma,2024,719955
Home Depot,2024,354950
Lowe's,2024,60667
Tractor Supply,2024,916365
Kroger,2024,56873
Albertsons,2024,1646972
Walgreens,2024,1618921
CVS,2024,64803
Rite Aid,2024,84129
